"Date","Close","Open","High","Low","Vol","Percentage Change"
"09/11/2007","1,018.29","1,012.43","1,018.29","1,011.09","12.99K","-0.80%"
"08/11/2007","1,026.47","1,031.95","1,031.95","1,026.47","13.62K","-0.46%"
"07/11/2007","1,031.20","1,026.05","1,031.20","1,026.05","14.92K","-0.05%"
"06/11/2007","1,031.71","1,036.57","1,036.57","1,031.71","13.19K","-1.47%"
"05/11/2007","1,047.15","1,045.31","1,047.65","1,045.31","14.74K","-1.83%"
"02/11/2007","1,066.63","1,074.68","1,074.68","1,066.63","11.29K","-0.86%"
"01/11/2007","1,075.92","1,074.46","1,075.92","1,074.46","14.46K","1.02%"
"31/10/2007","1,065.09","1,065.68","1,068.80","1,065.09","12.79K","-0.44%"
"30/10/2007","1,069.78","1,068.31","1,071.15","1,068.31","12.16K","0.52%"
"29/10/2007","1,064.20","1,074.87","1,074.87","1,064.20","17.29K","-2.59%"
"26/10/2007","1,092.48","1,095.28","1,095.28","1,092.48","12.47K","-0.28%"
"25/10/2007","1,095.53","1,103.09","1,103.09","1,095.53","16.93K","-0.06%"
"24/10/2007","1,096.20","1,079.60","1,096.20","1,079.60","12.78K","1.94%"
"23/10/2007","1,075.29","1,079.06","1,079.06","1,075.29","13.14K","-0.96%"
"22/10/2007","1,085.74","1,091.76","1,091.76","1,085.74","10.91K","-1.03%"
"19/10/2007","1,097.07","1,078.21","1,097.07","1,078.21","12.49K","0.77%"
"18/10/2007","1,088.68","1,094.93","1,094.93","1,088.68","15.48K","-1.15%"
"17/10/2007","1,101.29","1,106.21","1,106.72","1,101.29","13.67K","-0.23%"
"16/10/2007","1,103.88","1,106.67","1,106.67","1,103.79","15.47K","-0.12%"
"15/10/2007","1,105.21","1,104.42","1,105.21","1,103.94","13.10K","0.05%"
"12/10/2007","1,104.61","1,097.58","1,104.61","1,097.58","16.23K","0.48%"
"11/10/2007","1,099.31","1,107.05","1,107.05","1,099.31","12.79K","-0.49%"
"10/10/2007","1,104.67","1,110.78","1,110.78","1,104.67","14.30K","0.67%"
"09/10/2007","1,097.36","1,093.07","1,097.36","1,093.07","14.88K","1.15%"
"08/10/2007","1,084.87","1,084.58","1,088.11","1,084.58","14.13K","0.30%"
"05/10/2007","1,081.63","1,086.92","1,086.92","1,081.63","16.63K","-0.56%"
"04/10/2007","1,087.76","1,107.80","1,107.80","1,087.76","16.98K","-1.70%"
"03/10/2007","1,106.60","1,099.34","1,106.60","1,099.23","14.94K","0.65%"
"02/10/2007","1,099.48","1,096.97","1,099.48","1,092.30","17.81K","1.39%"
"01/10/2007","1,084.39","1,072.72","1,084.39","1,072.72","21.25K","3.59%"
"28/09/2007","1,046.86","1,030.77","1,046.86","1,030.77","15.06K","3.23%"
"27/09/2007","1,014.09","1,012.26","1,014.09","1,009.83","13.03K","-0.18%"
"26/09/2007","1,015.91","1,029.73","1,029.73","1,015.39","16.59K","0.60%"
"25/09/2007","1,009.88","1,005.79","1,009.88","1,005.50","15.51K","3.49%"
"24/09/2007","975.82","967.89","975.82","967.89","12.06K","1.79%"
"21/09/2007","958.67","965.20","965.20","958.67","11.38K","-0.51%"
"20/09/2007","963.61","960.56","963.61","960.56","11.03K","1.84%"
"19/09/2007","946.22","942.52","946.22","942.52","9.23K","1.18%"
"18/09/2007","935.17","933.78","935.17","933.78","7.65K","0.05%"
"17/09/2007","934.74","932.38","934.74","932.38","11.29K","0.46%"
"14/09/2007","930.46","924.14","930.46","924.14","5.46K","0.99%"
"13/09/2007","921.31","920.55","921.31","920.55","9.38K","0.01%"
"12/09/2007","921.19","922.66","923.83","921.19","7.11K","0.08%"
"11/09/2007","920.48","925.28","925.28","920.48","13.48K","-0.72%"
"10/09/2007","927.14","933.02","933.02","927.14","7.75K","-0.75%"
"07/09/2007","934.13","929.53","934.13","929.53","6.76K","0.62%"
"06/09/2007","928.36","926.11","928.36","925.99","7.34K","0.30%"
"05/09/2007","925.57","938.76","938.76","925.57","8.95K","-0.46%"
"04/09/2007","929.85","919.87","929.85","919.87","8.27K","2.36%"
"31/08/2007","908.37","904.57","910.07","904.57","7.85K","0.49%"
"30/08/2007","903.94","901.26","904.98","901.26","5.35K","0.31%"
"29/08/2007","901.17","895.54","901.17","894.67","6.64K","-0.16%"
"28/08/2007","902.58","904.75","904.75","901.50","5.24K","-0.71%"
"27/08/2007","909.07","911.01","911.01","908.27","8.89K","0.40%"
"24/08/2007","905.48","897.06","905.48","897.06","8.01K","2.01%"
"23/08/2007","887.62","891.50","891.50","887.62","9.03K","-0.50%"
"22/08/2007","892.07","898.62","898.62","892.07","6.26K","-0.41%"
"21/08/2007","895.72","897.03","897.36","895.72","7.38K","0.64%"
"20/08/2007","890.02","875.87","890.02","875.87","7.94K","0.24%"
"17/08/2007","887.93","886.92","889.51","886.92","4.38K","-1.37%"
"16/08/2007","900.26","904.67","904.67","900.26","6.14K","-1.65%"
"15/08/2007","915.34","918.17","918.17","914.44","3.69K","-0.85%"
"14/08/2007","923.15","912.82","923.15","912.82","5.18K","1.54%"
"13/08/2007","909.15","916.00","916.00","909.15","5.33K","-2.84%"
"10/08/2007","935.68","942.33","942.33","929.37","7.60K","-0.27%"
"09/08/2007","938.21","923.15","938.21","923.15","8.63K","3.09%"
"08/08/2007","910.05","901.53","910.05","901.53","4.84K","1.47%"
"07/08/2007","896.91","890.75","898.26","890.75","4.16K","1.47%"
"06/08/2007","883.90","892.41","892.41","883.90","4.23K","-1.01%"
"03/08/2007","892.88","895.22","895.22","892.88","5.90K","-2.01%"
"02/08/2007","911.18","926.67","926.67","911.18","6.60K","-1.30%"
"01/08/2007","923.14","905.34","924.18","905.34","6.79K","1.67%"
"31/07/2007","907.95","905.08","907.95","903.41","6.58K","-1.89%"
"30/07/2007","925.44","928.69","928.69","925.44","3.30K","-1.59%"
"27/07/2007","940.36","946.03","946.03","939.94","5.22K","-1.65%"
"26/07/2007","956.13","965.92","965.92","956.13","7.61K","-1.69%"
"25/07/2007","972.56","975.08","975.08","970.55","5.48K","-1.00%"
"24/07/2007","982.43","982.17","983.53","982.17","7.41K","0.33%"
"23/07/2007","979.23","981.11","981.64","979.23","5.60K","-0.21%"
"20/07/2007","981.31","980.35","982.17","980.35","4.97K","-0.32%"
"19/07/2007","984.43","990.84","990.84","984.43","6.03K","-1.04%"
"18/07/2007","994.73","998.75","998.75","994.73","4.92K","-0.56%"
"17/07/2007","1,000.33","995.86","1,001.05","995.86","6.38K","0.45%"
"16/07/2007","995.83","1,005.16","1,005.16","995.83","6.17K","-1.96%"
"13/07/2007","1,015.73","1,010.71","1,015.73","1,010.71","6.28K","-0.19%"
"12/07/2007","1,017.68","1,025.72","1,025.72","1,017.68","6.32K","-1.18%"
"11/07/2007","1,029.85","1,032.43","1,032.71","1,029.85","5.73K","0.67%"
"10/07/2007","1,023.04","1,015.15","1,023.04","1,015.15","5.51K","1.26%"
"09/07/2007","1,010.27","1,004.39","1,010.27","1,004.39","7.12K","-0.03%"
"06/07/2007","1,010.53","1,008.36","1,010.53","1,005.95","5.98K","-0.23%"
"05/07/2007","1,012.82","1,013.95","1,013.95","1,012.58","8.65K","-0.07%"
"04/07/2007","1,013.56","996.14","1,013.56","996.14","6.86K","3.71%"
"03/07/2007","977.30","976.11","977.30","975.40","7.18K","-1.70%"
"02/07/2007","994.17","1,015.71","1,015.71","994.17","7.62K","-2.98%"
"29/06/2007","1,024.68","1,020.64","1,024.68","1,020.64","7.83K","0.06%"
"28/06/2007","1,024.04","1,024.30","1,024.62","1,024.04","8.67K","-0.86%"
"27/06/2007","1,032.96","1,057.08","1,057.08","1,032.96","9.29K","-2.15%"
"26/06/2007","1,055.70","1,064.15","1,064.15","1,054.38","7.49K","1.08%"
"25/06/2007","1,044.39","1,047.97","1,047.97","1,044.39","7.44K","1.04%"
"22/06/2007","1,033.69","1,031.26","1,037.45","1,031.26","6.79K","-0.07%"
"21/06/2007","1,034.43","1,043.96","1,043.96","1,034.43","5.69K","-1.04%"
"20/06/2007","1,045.28","1,050.88","1,050.88","1,045.28","7.22K","-0.41%"
"19/06/2007","1,049.58","1,047.95","1,049.87","1,047.95","8.66K","0.54%"
"18/06/2007","1,043.99","1,046.42","1,046.62","1,043.99","10.58K","-0.40%"
"15/06/2007","1,048.19","1,050.63","1,050.63","1,048.19","5.69K","0.52%"
"14/06/2007","1,042.79","1,044.02","1,044.02","1,041.68","7.81K","0.38%"
"13/06/2007","1,038.80","1,035.97","1,038.80","1,033.71","9.08K","0.22%"
"12/06/2007","1,036.54","1,034.88","1,036.54","1,034.88","10.78K","-0.40%"
"11/06/2007","1,040.75","1,042.09","1,042.09","1,037.29","7.11K","-1.57%"
"08/06/2007","1,057.36","1,067.13","1,067.13","1,054.78","8.58K","-0.25%"
"07/06/2007","1,060.02","1,057.54","1,060.56","1,057.54","12.74K","1.41%"
"06/06/2007","1,045.29","1,040.45","1,045.29","1,038.90","7.05K","0.54%"
"05/06/2007","1,039.66","1,051.68","1,051.68","1,039.66","8.16K","-2.11%"
"04/06/2007","1,062.10","1,074.18","1,074.18","1,062.10","7.58K","-1.42%"
"01/06/2007","1,077.36","1,085.93","1,085.93","1,077.36","5.59K","-0.38%"
"31/05/2007","1,081.48","1,087.55","1,087.55","1,081.48","6.02K","0.33%"
"30/05/2007","1,077.88","1,080.96","1,080.96","1,075.55","5.33K","-1.45%"
"29/05/2007","1,093.77","1,102.82","1,102.82","1,093.77","7.10K","-0.44%"
"28/05/2007","1,098.64","1,113.24","1,113.24","1,098.64","7.18K","0.83%"
"25/05/2007","1,089.60","1,073.52","1,089.60","1,073.52","9.14K","0.40%"
"24/05/2007","1,085.30","1,101.79","1,101.79","1,085.30","8.45K","-2.51%"
"23/05/2007","1,113.19","1,127.75","1,127.75","1,113.19","10.85K","0.51%"
"22/05/2007","1,107.52","1,102.70","1,107.52","1,102.70","11.78K","2.04%"
"21/05/2007","1,085.41","1,077.62","1,085.41","1,077.62","7.91K","1.77%"
"18/05/2007","1,066.56","1,063.33","1,066.56","1,063.33","6.51K","0.64%"
"17/05/2007","1,059.79","1,039.27","1,059.79","1,039.27","11.25K","1.81%"
"16/05/2007","1,040.99","1,051.62","1,051.62","1,040.99","8.76K","-1.30%"
"15/05/2007","1,054.69","1,069.15","1,069.15","1,054.69","8.50K","-1.06%"
"14/05/2007","1,066.04","1,061.89","1,066.04","1,060.51","6.61K","2.54%"
"11/05/2007","1,039.63","1,022.35","1,039.63","1,022.35","9.65K","1.92%"
"10/05/2007","1,020.04","1,026.46","1,026.46","1,020.04","7.99K","0.01%"
"09/05/2007","1,019.96","1,029.66","1,029.66","1,019.96","8.32K","0.45%"
"08/05/2007","1,015.43","1,017.24","1,017.24","1,015.43","9.93K","3.23%"
"07/05/2007","983.62","969.48","983.62","969.48","5.75K","3.85%"
